,debate,participant,topic,prop_turns,prop_words,avg_turn_length,turn_rank,word_rank,topic_title
0,deb_2005_04_18,KENNEDY,2000,0.11363636363636363,0.12543039842597148,34.0,2,4,Government Operations
1,deb_2005_04_18,KENNEDY,2012,0.08333333333333333,0.08780127889818003,32.45454545454545,3,10,"Political Parties, Campaigns, and Voter Registration"
2,deb_2005_04_18,KENNEDY,100,0.12878787878787878,0.24151500245941956,57.76470588235294,1,1,Macroeconomics
3,deb_2005_04_18,KENNEDY,107,0.06818181818181818,0.10649286768322676,48.111111111111114,5,7,"Taxation, Tax policy, and Tax Reform"
4,deb_2005_04_18,KENNEDY,500,0.015151515151515152,0.03344810624692573,68.0,19,21,Labour and Employment
5,deb_2005_04_18,KENNEDY,200,0.07575757575757576,0.1337924249877029,54.4,4,3,Civil Rights
6,deb_2005_04_18,KENNEDY,201,0.015151515151515152,0.02484013772749631,50.5,19,26,Ethnic Minority and Racial Group Discrimination
7,deb_2005_04_18,KENNEDY,600,0.015151515151515152,0.04033448106246926,82.0,19,16,Education
8,deb_2005_04_18,KENNEDY,601,0.015151515151515152,0.04033448106246926,82.0,19,16,Higher Education
9,deb_2005_04_18,KENNEDY,603,0.007575757575757576,0.010083620265617314,41.0,24,35,Education of Underprivileged Students
10,deb_2005_04_18,KENNEDY,1300,0.05303030303030303,0.1219872110181997,70.85714285714286,7,5,Social Welfare
11,deb_2005_04_18,KENNEDY,1303,0.022727272727272728,0.05410723069355632,73.33333333333333,15,12,"Elderly Issues and Elderly Assistance Programs, State Pensions"
12,deb_2005_04_18,KENNEDY,105,0.030303030303030304,0.06419085095917364,65.25,13,11,"National Budget, Debt, public spending"
13,deb_2005_04_18,KENNEDY,508,0.007575757575757576,0.030250860796851943,123.0,24,23,Parental Leave and Child Care
14,deb_2005_04_18,KENNEDY,2011,0.030303030303030304,0.03762911952779144,38.25,13,18,Executive-Legislative Relations and Parliamentary Operations
15,deb_2005_04_18,KENNEDY,1000,0.022727272727272728,0.041072306935563206,55.666666666666664,15,14,Transportation
16,deb_2005_04_18,KENNEDY,1001,0.022727272727272728,0.041072306935563206,55.666666666666664,15,14,Mass and Public Transportation and Safety
17,deb_2005_04_18,KENNEDY,800,0.05303030303030303,0.03418593212001968,19.857142857142858,7,20,Energy
18,deb_2005_04_18,KENNEDY,806,0.045454545454545456,0.031234628627643875,21.166666666666668,10,22,Alternative and Renewable Energy
19,deb_2005_04_18,KENNEDY,300,0.007575757575757576,0.0073782587309394985,30.0,24,36,Health
20,deb_2005_04_18,KENNEDY,325,0.007575757575757576,0.0073782587309394985,30.0,24,36,Health Manpower and Training
21,deb_2005_04_18,KENNEDY,1800,0.007575757575757576,0.02852926709296606,116.0,24,25,Foreign Trade
22,deb_2005_04_18,KENNEDY,108,0.007575757575757576,0.029021151008362025,118.0,24,24,"Industrial Policy, Privatisation, Nationalisation"
23,deb_2005_04_18,KENNEDY,208,0.007575757575757576,0.006394490900147565,26.0,24,38,Right to Privacy and Access to Government Information
24,deb_2005_04_18,KENNEDY,1200,0.05303030303030303,0.10526315789473684,61.142857142857146,7,8,"Law, Crime, and Family Issues"
25,deb_2005_04_18,KENNEDY,1208,0.007575757575757576,0.01500245941957698,61.0,24,29,Family Issues
26,deb_2005_04_18,KENNEDY,207,0.045454545454545456,0.09788489916379735,66.33333333333333,10,9,Freedom of Speech & Religion
27,deb_2005_04_18,KENNEDY,1305,0.007575757575757576,0.015248401377274963,62.0,24,27,Social Services and Volunteer Associations
28,deb_2005_04_18,KENNEDY,1206,0.007575757575757576,0.015248401377274963,62.0,24,27,Juvenile Crime and the Juvenile Justice System
29,deb_2005_04_18,KENNEDY,1205,0.015151515151515152,0.03762911952779144,76.5,19,18,Prison System
30,deb_2005_04_18,KENNEDY,1302,0.022727272727272728,0.05263157894736842,71.33333333333333,15,13,Poverty and Assistance for Low-Income Families
31,deb_2005_04_18,KENNEDY,1900,0.06060606060606061,0.13723561239547466,69.75,6,2,International Affairs
32,deb_2005_04_18,KENNEDY,1920,0.045454545454545456,0.12026561731431382,81.5,10,6,Middle East
33,deb_2005_04_18,KENNEDY,230,0.007575757575757576,0.004672897196261682,19.0,24,40,Immigration
34,deb_2005_04_18,KENNEDY,1202,0.007575757575757576,0.011805213969503197,48.0,24,33,White Collar Crime and Organized Crime
36,deb_2005_04_18,KENNEDY,1209,0.007575757575757576,0.014510575504181012,59.0,24,30,"Police, Fire, and Weapons Control"
37,deb_2005_04_18,KENNEDY,1600,0.007575757575757576,0.01426463354648303,58.0,24,31,Defence
38,deb_2005_04_18,KENNEDY,1603,0.007575757575757576,0.01426463354648303,58.0,24,31,"Military Intelligence, Intelligence Services, Espionage"
39,deb_2005_04_18,KENNEDY,1926,0.007575757575757576,0.005164781111657649,21.0,24,39,International Organizations other than Finance
40,deb_2005_04_20,BLAIR,1900,0.14285714285714285,0.28685714285714287,78.4375,4,2,International Affairs
41,deb_2005_04_20,BLAIR,1920,0.08928571428571429,0.21965714285714286,96.1,5,4,Middle East
42,deb_2005_04_20,BLAIR,100,0.16071428571428573,0.29874285714285714,72.61111111111111,3,1,Macroeconomics
43,deb_2005_04_20,BLAIR,101,0.017857142857142856,0.055542857142857144,121.5,18,13,"Inflation, prices, and interest rates"
44,deb_2005_04_20,BLAIR,103,0.008928571428571428,0.031085714285714286,136.0,23,24,Unemployment rate
45,deb_2005_04_20,BLAIR,104,0.008928571428571428,0.031085714285714286,136.0,23,24,"Monetary Supply, Central Bank, and the Treasury"
46,deb_2005_04_20,BLAIR,2000,0.08035714285714286,0.06834285714285715,33.22222222222222,6,11,Government Operations
47,deb_2005_04_20,BLAIR,2011,0.044642857142857144,0.0464,40.6,8,18,Executive-Legislative Relations and Parliamentary Operations
48,deb_2005_04_20,BLAIR,1603,0.044642857142857144,0.04502857142857143,39.4,8,19,"Military Intelligence, Intelligence Services, Espionage"
49,deb_2005_04_20,BLAIR,1600,0.044642857142857144,0.04342857142857143,38.0,8,20,Defence
50,deb_2005_04_20,BLAIR,1926,0.026785714285714284,0.03154285714285714,46.0,14,23,International Organizations other than Finance
51,deb_2005_04_20,BLAIR,1200,0.026785714285714284,0.05531428571428571,80.66666666666667,14,14,"Law, Crime, and Family Issues"
52,deb_2005_04_20,BLAIR,1209,0.017857142857142856,0.008685714285714286,19.0,18,28,"Police, Fire, and Weapons Control"
53,deb_2005_04_20,BLAIR,1300,0.044642857142857144,0.08,70.0,8,8,Social Welfare
54,deb_2005_04_20,BLAIR,200,0.17857142857142858,0.22422857142857142,49.05,1,3,Civil Rights
55,deb_2005_04_20,BLAIR,1930,0.008928571428571428,0.037942857142857146,166.0,23,22,North America and North Atlantic Ocean
56,deb_2005_04_20,BLAIR,1910,0.017857142857142856,0.06628571428571428,145.0,18,12,"Western Europe, Common Market Issues"
