,election,party,c2_vote,de_vote,c2de_vote
0,2024,Conservatives,0.24,0.23,0.23
1,2019,Conservatives,0.49,0.47,0.48
2,2017,Conservatives,0.47,0.41,0.44
3,2015,Conservatives,0.36,0.29,0.33
4,2010,Conservatives,0.37,0.31,0.34
5,2005,Conservatives,0.33,0.25,0.29
6,2024,Labour,0.32,0.34,0.33
7,2019,Labour,0.31,0.34,0.33
8,2017,Labour,0.4,0.44,0.42
9,2015,Labour,0.31,0.37,0.34
10,2010,Labour,0.29,0.4,0.35
11,2005,Labour,0.4,0.48,0.44
12,2024,Liberal Democrats,0.11,0.1,0.11
13,2019,Liberal Democrats,0.09,0.08,0.08
14,2017,Liberal Democrats,0.06,0.05,0.06
15,2015,Liberal Democrats,0.06,0.06,0.06
16,2010,Liberal Democrats,0.22,0.17,0.2
17,2005,Liberal Democrats,0.19,0.18,0.19
18,2024,SNP,0.03,0.03,0.03
19,2019,SNP,0.04,0.04,0.04
20,2017,SNP,0.03,0.04,0.04
21,2015,SNP,0.05,0.05,0.05
22,2024,Reform UK,0.2,0.19,0.2
23,2024,Green,0.06,0.06,0.06
24,2019,Green,0.03,0.02,0.02
25,2017,Green,0.01,0.02,0.01
26,2015,Green,0.03,0.03,0.03
27,2024,Plaid Cymru,0.01,0.01,0.01
28,2019,Plaid Cymru,0.0,0.0,0.0
29,2017,Plaid Cymru,0.0,0.0,0.0
30,2015,Plaid Cymru,0.01,0.0,0.01
31,2019,Brexit,0.03,0.03,0.03
32,2017,UKIP,0.02,0.04,0.03
33,2015,UKIP,0.17,0.18,0.18
